,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
1103,PHX,45,15,47,31.9,4,19,21.1,11,15,73.3,10,11,21,10,6,7,1,7,-17,False,False,False,False,False
1104,POR,54,22,46,47.8,6,10,60.0,4,9,44.4,5,21,26,12,8,2,4,11,1,False,False,False,False,False
1105,SAC,62,25,40,62.5,7,15,46.7,5,6,83.3,3,23,26,17,10,4,2,10,17,True,True,False,False,False
1106,ATL,61,23,50,46.0,8,14,57.1,7,8,87.5,5,19,24,15,6,3,1,9,3,False,False,False,False,False
1107,BKN,56,21,48,43.8,6,20,30.0,8,10,80.0,5,20,25,14,7,7,0,13,5,True,True,True,True,False
1108,BOS,42,18,49,36.7,1,18,5.6,5,9,55.6,8,18,26,10,7,6,1,9,2,False,False,False,False,False
1109,CHA,51,18,42,42.9,6,16,37.5,9,14,64.3,5,17,22,10,9,5,1,10,-5,False,False,False,False,False
1110,CHI,59,19,44,43.2,8,15,53.3,13,17,76.5,6,22,28,14,9,2,3,12,4,True,True,True,True,True
1111,CLE,48,17,45,37.8,8,23,34.8,6,7,85.7,7,7,14,12,11,7,1,8,-27,False,False,False,False,False
1112,DAL,74,25,46,54.3,11,21,52.4,13,17,76.5,8,22,30,16,7,4,2,11,36,True,True,True,True,True
1113,DEN,54,23,47,48.9,5,12,41.7,3,5,60.0,7,15,22,12,6,5,2,10,3,True,True,True,True,False
1114,DET,55,20,47,42.6,6,18,33.3,9,12,75.0,6,17,23,18,6,5,3,10,-4,False,False,False,False,False
1115,GSW,38,14,44,31.8,2,11,18.2,8,13,61.5,4,11,15,7,6,5,3,12,-36,False,False,False,False,False
1116,HOU,51,18,41,43.9,3,14,21.4,12,15,80.0,7,17,24,10,10,5,2,9,-3,False,False,False,False,False
1117,LAC,40,15,40,37.5,4,15,26.7,6,9,66.7,7,21,28,9,13,4,4,7,-2,True,False,False,False,False
1118,MIA,75,29,42,69.0,12,20,60.0,5,8,62.5,3,18,21,20,13,4,3,9,27,True,True,True,True,True
