,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Team1,Team2,win_target,3_win_target,5_win_target,7_win_target,10_win_target
626,SAC,115,43,100,43.0,11,36,30.6,18,24,75.0,18,33,51,22,13,10,3,23,SAC,MEM,False,False,False,False,False
627,ATL,112,39,105,37.1,11,48,22.9,23,27,85.2,14,38,52,17,10,7,5,22,ATL,BKN,False,False,False,False,False
628,PHX,108,38,87,43.7,11,32,34.4,21,23,91.3,12,25,37,26,16,9,4,29,PHX,OKC,False,False,False,False,False
629,DET,93,34,85,40.0,11,31,35.5,14,19,73.7,11,25,36,21,25,13,2,16,DET,BOS,False,False,False,False,False
630,ATL,106,39,90,43.3,11,29,37.9,17,19,89.5,6,34,40,24,16,8,1,27,ATL,UTA,False,False,False,False,False
631,CHI,110,39,97,40.2,11,37,29.7,21,24,87.5,11,42,53,25,15,10,6,24,CHI,WAS,True,False,False,False,False
632,ORL,104,37,87,42.5,11,29,37.9,19,21,90.5,8,27,35,25,13,9,5,19,ORL,DEN,False,False,False,False,False
633,DEN,113,40,84,47.6,11,27,40.7,22,25,88.0,14,38,52,28,19,8,3,17,DEN,ORL,True,True,True,True,False
634,BKN,108,40,96,41.7,11,39,28.2,17,23,73.9,6,48,54,25,13,3,10,22,BKN,NOP,True,True,True,False,False
635,NOP,101,37,107,34.6,11,40,27.5,16,24,66.7,16,42,58,20,9,3,9,19,NOP,BKN,False,False,False,False,False
636,MIA,111,37,81,45.7,11,24,45.8,26,31,83.9,7,28,35,22,14,9,7,26,MIA,MEM,False,False,False,False,False
637,HOU,109,40,98,40.8,11,43,25.6,18,27,66.7,14,44,58,20,13,9,6,19,HOU,SAS,True,False,False,False,False
638,MIL,116,44,105,41.9,11,41,26.8,17,24,70.8,15,37,52,29,9,8,4,23,MIL,DAL,False,False,False,False,False
639,MEM,128,48,84,57.1,11,27,40.7,21,24,87.5,9,37,46,32,24,11,7,24,MEM,WAS,True,True,True,True,True
640,MIL,127,44,87,50.6,11,30,36.7,28,33,84.8,9,46,55,22,17,4,3,21,MIL,MEM,True,True,True,True,True
641,LAC,124,39,79,49.4,11,25,44.0,35,39,89.7,8,37,45,16,19,5,2,30,LAC,MIN,True,True,True,False,False
642,BOS,109,42,91,46.2,11,31,35.5,14,17,82.4,9,24,33,24,6,4,7,25,BOS,PHI,False,False,False,False,False
643,CHI,136,54,94,57.4,11,24,45.8,17,19,89.5,7,35,42,32,13,15,7,25,CHI,ATL,True,True,True,True,True
644,WAS,107,38,90,42.2,11,35,31.4,20,25,80.0,13,32,45,27,10,7,7,24,WAS,CHA,False,False,False,False,False
645,GSW,102,35,93,37.6,11,27,40.7,21,25,84.0,10,36,46,23,16,10,6,21,GSW,MEM,False,False,False,False,False
646,DET,105,36,85,42.4,11,35,31.4,22,27,81.5,10,36,46,15,19,6,3,20,DET,NOP,True,False,False,False,False
647,CHA,107,36,90,40.0,11,31,35.5,24,29,82.8,13,31,44,22,11,8,3,17,CHA,ATL,False,False,False,False,False
648,TOR,104,38,88,43.2,11,33,33.3,17,20,85.0,13,29,42,21,18,13,4,22,TOR,PHI,False,False,False,False,False
649,MIA,110,32,77,41.6,11,35,31.4,35,44,79.5,10,33,43,20,17,9,2,23,MIA,CHI,True,True,False,False,False
650,OKC,108,35,85,41.2,11,32,34.4,27,34,79.4,13,41,54,12,10,7,2,22,OKC,POR,True,True,True,True,True
651,PHX,109,40,96,41.7,11,35,31.4,18,28,64.3,13,38,51,29,16,4,3,25,PHX,HOU,False,False,False,False,False
652,PHI,141,57,90,63.3,11,26,42.3,16,23,69.6,10,41,51,43,8,13,8,16,PHI,CLE,True,True,True,True,True
653,HOU,115,41,91,45.1,11,40,27.5,22,30,73.3,10,41,51,21,16,10,7,28,HOU,PHX,True,True,True,False,False
654,DET,108,39,87,44.8,11,25,44.0,19,26,73.1,14,37,51,21,18,7,5,17,DET,IND,True,True,True,False,False
655,SAS,105,41,96,42.7,11,32,34.4,12,17,70.6,13,39,52,25,16,10,5,16,SAS,SAC,True,False,False,False,False
656,WAS,119,41,90,45.6,11,27,40.7,26,32,81.3,13,28,41,25,12,9,1,20,WAS,PHI,True,True,True,False,False
657,DET,103,39,93,41.9,11,36,30.6,14,22,63.6,9,31,40,25,12,5,3,19,DET,MIL,False,False,False,False,False
658,DAL,121,46,92,50.0,11,37,29.7,18,23,78.3,13,32,45,24,9,5,5,16,DAL,MIN,True,True,True,False,False
659,SAC,116,44,95,46.3,11,34,32.4,17,23,73.9,13,31,44,26,10,7,7,17,SAC,POR,False,False,False,False,False
660,NOP,97,38,94,40.4,11,41,26.8,10,15,66.7,9,38,47,20,11,4,4,19,NOP,DAL,False,False,False,False,False
661,TOR,110,35,91,38.5,11,43,25.6,29,36,80.6,9,39,48,25,12,5,4,20,TOR,MIA,False,False,False,False,False
662,OKC,107,38,81,46.9,11,33,33.3,20,26,76.9,5,42,47,19,11,5,3,14,OKC,NOP,True,False,False,False,False
663,ORL,100,37,87,42.5,11,33,33.3,15,22,68.2,12,36,48,21,15,7,8,20,ORL,GSW,True,True,False,False,False
664,MIN,107,33,85,38.8,11,36,30.6,30,35,85.7,10,43,53,22,16,7,6,21,MIN,MEM,False,False,False,False,False
665,WAS,125,47,102,46.1,11,30,36.7,20,27,74.1,12,31,43,32,14,10,1,29,WAS,LAC,False,False,False,False,False
666,DEN,97,36,87,41.4,11,32,34.4,14,21,66.7,9,39,48,23,17,11,5,21,DEN,SAC,False,False,False,False,False
667,IND,116,42,76,55.3,11,22,50.0,21,25,84.0,3,28,31,22,20,7,3,24,IND,PHI,False,False,False,False,False
668,PHI,119,38,77,49.4,11,23,47.8,32,36,88.9,4,28,32,27,14,12,5,16,PHI,IND,True,False,False,False,False
669,NOP,104,39,87,44.8,11,38,28.9,15,21,71.4,7,37,44,19,14,8,3,12,NOP,OKC,False,False,False,False,False
670,TOR,90,31,84,36.9,11,38,28.9,17,28,60.7,11,35,46,21,14,16,4,20,TOR,ORL,True,True,True,False,False
671,ATL,102,38,94,40.4,11,34,32.4,15,22,68.2,14,35,49,22,19,4,5,25,ATL,MIL,False,False,False,False,False
672,GSW,104,37,81,45.7,11,29,37.9,19,26,73.1,13,41,54,31,21,12,9,17,GSW,CHI,True,True,True,True,True
673,MEM,119,43,92,46.7,11,28,39.3,22,26,84.6,13,35,48,26,20,9,3,22,MEM,LAC,False,False,False,False,False
674,CLE,104,37,81,45.7,11,34,32.4,19,22,86.4,12,37,49,20,25,5,0,15,CLE,ORL,False,False,False,False,False
675,OKC,119,39,88,44.3,11,35,31.4,30,38,78.9,8,30,38,19,6,4,2,21,OKC,POR,False,False,False,False,False
676,DAL,99,30,79,38.0,11,38,28.9,28,35,80.0,9,37,46,16,20,12,2,21,DAL,LAC,False,False,False,False,False
677,LAC,114,41,97,42.3,11,33,33.3,21,30,70.0,17,39,56,22,14,12,3,27,LAC,DAL,True,True,True,True,True
678,TOR,101,38,84,45.2,11,34,32.4,14,22,63.6,8,32,40,27,10,5,5,18,TOR,PHI,True,True,False,False,False
679,BKN,108,44,94,46.8,11,34,32.4,9,11,81.8,12,36,48,29,10,8,10,21,BKN,CLE,True,False,False,False,False
680,OKC,100,40,85,47.1,11,32,34.4,9,11,81.8,9,34,43,26,16,5,13,16,OKC,GSW,True,False,False,False,False
681,SAC,113,39,81,48.1,11,31,35.5,24,28,85.7,6,33,39,22,14,9,5,17,SAC,WAS,True,True,True,False,False
682,OKC,127,49,93,52.7,11,31,35.5,18,20,90.0,6,31,37,28,12,8,3,23,OKC,LAL,False,False,False,False,False
683,CHA,91,30,81,37.0,11,33,33.3,20,26,76.9,8,33,41,17,16,8,3,23,CHA,BKN,False,False,False,False,False
684,POR,108,40,96,41.7,11,36,30.6,17,23,73.9,12,32,44,28,17,7,5,21,POR,HOU,False,False,False,False,False
685,BKN,86,30,84,35.7,11,34,32.4,15,24,62.5,4,36,40,18,10,2,7,19,BKN,IND,False,False,False,False,False
686,MIL,102,43,96,44.8,11,39,28.2,5,7,71.4,8,47,55,23,15,6,8,13,MIL,IND,True,True,True,True,True
687,MIN,116,42,89,47.2,11,37,29.7,21,29,72.4,9,34,43,26,20,6,5,20,MIN,WAS,False,False,False,False,False
688,LAL,99,34,81,42.0,11,37,29.7,20,22,90.9,10,31,41,22,13,11,6,18,LAL,SAC,True,False,False,False,False
689,LAC,127,46,84,54.8,11,24,45.8,24,31,77.4,6,31,37,28,16,6,6,22,LAC,NOP,False,False,False,False,False
690,MIN,129,45,91,49.5,11,34,32.4,28,34,82.4,13,37,50,25,10,11,4,25,MIN,SAS,True,True,True,True,True
691,WAS,133,50,96,52.1,11,29,37.9,22,27,81.5,9,27,36,28,9,5,4,23,WAS,BOS,False,False,False,False,False
692,DEN,121,46,104,44.2,11,41,26.8,18,22,81.8,15,25,40,31,3,7,5,24,DEN,ATL,False,False,False,False,False
693,BKN,114,41,90,45.6,11,37,29.7,21,25,84.0,10,33,43,19,17,5,8,29,BKN,UTA,False,False,False,False,False
694,SAC,107,38,86,44.2,11,32,34.4,20,26,76.9,11,35,46,24,14,9,5,25,SAC,POR,True,True,True,True,False
695,MEM,113,44,87,50.6,11,28,39.3,14,20,70.0,9,38,47,32,11,7,5,20,MEM,SAS,True,True,False,False,False
696,DAL,106,37,89,41.6,11,42,26.2,21,28,75.0,13,33,46,22,8,2,5,26,DAL,BOS,False,False,False,False,False
