,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
1014,NOP,NOP vs. DET,12/09/2019,,L,24,50,22,49,44.9,4,20,20.0,2,3,66.7,8,15,23,12,8,2,1,7,-8
1015,DET,DET @ NOP,12/09/2019,,W,24,58,22,43,51.2,5,17,29.4,9,11,81.8,4,13,17,8,5,4,3,7,8
1016,BOS,BOS vs. CLE,12/09/2019,,W,24,57,23,39,59.0,8,12,66.7,3,6,50.0,3,15,18,10,8,3,4,10,9
1017,UTA,UTA vs. OKC,12/09/2019,,L,24,43,17,47,36.2,3,17,17.6,6,8,75.0,4,21,25,8,6,2,0,11,-10
1018,TOR,TOR @ CHI,12/09/2019,,W,24,44,13,41,31.7,1,8,12.5,17,21,81.0,8,18,26,6,10,7,6,6,3
1019,HOU,HOU vs. SAC,12/09/2019,,L,24,54,19,38,50.0,6,22,27.3,10,12,83.3,6,21,27,14,12,3,5,13,-6
1020,ORL,ORL @ MIL,12/09/2019,,L,24,61,22,48,45.8,8,17,47.1,9,13,69.2,5,13,18,16,4,4,3,7,3
1021,PHX,PHX vs. MIN,12/09/2019,,W,24,64,22,46,47.8,10,24,41.7,10,13,76.9,6,13,19,16,4,3,2,13,19
1022,IND,IND vs. LAC,12/09/2019,,L,24,51,17,45,37.8,5,17,29.4,12,17,70.6,10,21,31,8,5,1,2,7,1
1023,CLE,CLE @ BOS,12/09/2019,,L,24,48,19,47,40.4,4,16,25.0,6,9,66.7,10,13,23,10,8,4,2,6,-9
1024,OKC,OKC @ UTA,12/09/2019,,W,24,53,19,42,45.2,4,11,36.4,11,14,78.6,2,24,26,10,4,3,3,10,10
1025,MIN,MIN @ PHX,12/09/2019,,L,24,45,13,37,35.1,2,11,18.2,17,19,89.5,6,16,22,5,11,2,2,12,-19
1026,CHI,CHI @ MIA,12/08/2019,,L,24,48,15,34,44.1,7,17,41.2,11,12,91.7,3,13,16,10,11,5,1,13,-2
1027,POR,POR vs. OKC,12/08/2019,,L,24,49,18,47,38.3,2,17,11.8,11,14,78.6,11,13,24,7,2,3,2,15,-4
1028,TOR,TOR @ PHI,12/08/2019,,L,24,62,22,44,50.0,6,17,35.3,12,15,80.0,7,13,20,9,8,10,2,12,9
1029,LAL,LAL vs. MIN,12/08/2019,,W,24,69,25,45,55.6,9,18,50.0,10,11,90.9,5,14,19,14,5,6,1,9,9
1030,ATL,ATL @ CHA,12/08/2019,,W,24,71,26,49,53.1,10,24,41.7,9,9,100.0,8,17,25,17,7,5,5,13,17
1031,CHA,CHA vs. ATL,12/08/2019,,L,24,54,17,44,38.6,3,13,23.1,17,20,85.0,7,13,20,9,6,2,1,8,-17
1032,WAS,WAS vs. LAC,12/08/2019,,L,24,55,19,44,43.2,5,15,33.3,12,14,85.7,4,12,16,14,6,4,0,12,-15
1033,PHI,PHI vs. TOR,12/08/2019,,W,24,53,18,36,50.0,9,17,52.9,8,10,80.0,2,17,19,15,15,4,1,10,-9
1034,SAC,SAC @ DAL,12/08/2019,,W,24,44,16,38,42.1,7,17,41.2,5,6,83.3,2,10,12,10,8,4,1,9,-16
1035,BKN,BKN vs. DEN,12/08/2019,,W,24,52,22,43,51.2,3,12,25.0,5,7,71.4,4,22,26,11,7,1,0,8,4
1036,DEN,DEN @ BKN,12/08/2019,,L,24,48,17,48,35.4,10,24,41.7,4,5,80.0,5,13,18,14,5,2,3,11,-4
1037,MIN,MIN @ LAL,12/08/2019,,L,24,60,21,39,53.8,7,20,35.0,11,13,84.6,3,13,16,13,8,1,2,9,-9
1038,LAC,LAC @ WAS,12/08/2019,,W,24,70,25,47,53.2,6,18,33.3,14,16,87.5,6,18,24,11,6,1,2,10,15
1039,DAL,DAL vs. SAC,12/08/2019,,L,24,60,23,41,56.1,11,24,45.8,3,3,100.0,5,15,20,13,8,2,1,6,16
1040,OKC,OKC @ POR,12/08/2019,,W,24,53,15,37,40.5,5,16,31.3,18,22,81.8,7,18,25,8,4,1,0,13,4
1041,MIA,MIA vs. CHI,12/08/2019,,W,24,50,13,29,44.8,5,18,27.8,19,22,86.4,2,12,14,9,12,7,0,10,2
1042,CLE,CLE @ PHI,12/07/2019,,L,24,58,21,48,43.8,6,19,31.6,10,13,76.9,6,14,20,10,7,2,0,11,-6
1043,MEM,MEM @ UTA,12/07/2019,,L,24,58,22,41,53.7,3,15,20.0,11,17,64.7,2,13,15,13,5,9,2,7,1
1044,NYK,NYK vs. IND,12/07/2019,,L,24,43,15,47,31.9,6,18,33.3,7,11,63.6,9,20,29,10,5,8,5,6,5
1045,PHX,PHX @ HOU,12/07/2019,,L,24,57,19,45,42.2,4,14,28.6,15,23,65.2,7,20,27,13,8,1,1,16,2
1046,NOP,NOP @ DAL,12/07/2019,,L,24,32,12,40,30.0,2,16,12.5,6,7,85.7,3,15,18,6,13,2,0,13,-34
1047,IND,IND @ NYK,12/07/2019,,W,24,38,14,39,35.9,6,14,42.9,4,5,80.0,3,20,23,11,11,4,7,9,-5
1048,UTA,UTA vs. MEM,12/07/2019,,W,24,57,22,42,52.4,8,15,53.3,5,5,100.0,5,18,23,16,13,3,0,14,-1
1049,DAL,DAL vs. NOP,12/07/2019,,W,24,66,23,43,53.5,9,22,40.9,11,14,78.6,2,23,25,13,6,7,2,9,34
1050,PHI,PHI vs. CLE,12/07/2019,,W,24,64,25,45,55.6,3,10,30.0,11,17,64.7,7,18,25,18,4,5,2,11,6
1051,HOU,HOU vs. PHX,12/07/2019,,W,24,55,18,42,42.9,5,21,23.8,14,18,77.8,4,19,23,6,9,5,2,19,-2
1052,WAS,WAS @ MIA,12/06/2019,,L,24,38,15,46,32.6,3,21,14.3,5,6,83.3,7,18,25,9,6,2,2,11,-13
1053,MIA,MIA vs. WAS,12/06/2019,,W,24,51,19,44,43.2,5,15,33.3,8,11,72.7,5,21,26,10,6,4,1,5,13
1054,DET,DET vs. IND,12/06/2019,,W,24,53,20,43,46.5,5,10,50.0,8,13,61.5,8,15,23,9,8,3,1,8,-4
1055,DEN,DEN @ BOS,12/06/2019,,L,24,50,19,45,42.2,4,15,26.7,8,11,72.7,5,16,21,10,9,2,2,7,-5
1056,IND,IND @ DET,12/06/2019,,L,24,57,24,41,58.5,4,13,30.8,5,7,71.4,2,13,15,14,5,4,5,9,4
1057,ORL,ORL @ CLE,12/06/2019,,W,24,41,13,37,35.1,4,12,33.3,11,13,84.6,4,17,21,9,10,4,4,4,1
1058,SAC,SAC @ SAS,12/06/2019,,L,24,58,23,46,50.0,5,11,45.5,7,8,87.5,8,17,25,11,9,5,1,9,10
1059,MIN,MIN @ OKC,12/06/2019,,L,24,64,24,43,55.8,6,17,35.3,10,15,66.7,5,13,18,12,4,2,1,17,-5
1060,CLE,CLE vs. ORL,12/06/2019,,L,24,40,16,42,38.1,6,19,31.6,2,2,100.0,6,15,21,10,9,5,5,10,-1
1061,BOS,BOS vs. DEN,12/06/2019,,W,24,55,23,42,54.8,7,18,38.9,2,2,100.0,2,15,17,9,8,2,5,15,5
1062,OKC,OKC vs. MIN,12/06/2019,,W,24,69,22,42,52.4,1,9,11.1,24,26,92.3,6,12,18,9,3,4,2,12,5
1063,GSW,GSW @ CHI,12/06/2019,,W,24,50,19,36,52.8,2,10,20.0,10,14,71.4,3,17,20,12,8,4,1,10,3
1064,CHA,CHA vs. BKN,12/06/2019,,L,24,47,17,43,39.5,8,22,36.4,5,6,83.3,5,12,17,8,9,0,3,11,-9
1065,BKN,BKN @ CHA,12/06/2019,,W,24,56,22,46,47.8,4,16,25.0,8,11,72.7,8,18,26,17,6,6,2,10,9
1066,SAS,SAS vs. SAC,12/06/2019,,W,24,48,19,46,41.3,5,13,38.5,5,6,83.3,6,12,18,14,8,6,2,6,-10
