,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
954,PHX,PHX vs. DAL,11/29/2019,,L,48,113,41,93,44.1,13,38,34.2,18,25,72.0,11,36,47,29,10,3,3,29,-7
955,OKC,OKC vs. NOP,11/29/2019,,W,48,109,43,90,47.8,13,34,38.2,10,16,62.5,6,36,42,27,11,6,8,17,5
956,MIA,MIA vs. GSW,11/29/2019,,W,48,122,44,82,53.7,13,25,52.0,21,28,75.0,10,39,49,23,16,7,3,30,17
957,BOS,BOS vs. BKN,11/27/2019,,W,48,121,43,97,44.3,13,34,38.2,22,24,91.7,19,36,55,23,14,10,5,17,11
958,MIA,MIA vs. CHA,11/25/2019,,W,48,117,40,77,51.9,13,31,41.9,24,28,85.7,8,41,49,29,19,9,3,23,17
959,MEM,MEM @ IND,11/25/2019,,L,48,114,46,96,47.9,13,29,44.8,9,13,69.2,8,32,40,30,9,6,5,16,-12
960,CLE,CLE vs. BKN,11/25/2019,,L,48,106,40,94,42.6,13,32,40.6,13,20,65.0,12,33,45,24,12,5,4,14,-2
961,MIL,MIL vs. UTA,11/25/2019,,W,48,122,43,97,44.3,13,41,31.7,23,29,79.3,15,34,49,21,9,6,6,15,4
962,NOP,NOP @ LAC,11/24/2019,,L,48,109,43,98,43.9,13,41,31.7,10,18,55.6,12,33,45,26,9,1,6,26,-25
963,WAS,WAS vs. SAC,11/24/2019,,L,48,106,42,92,45.7,13,34,38.2,9,12,75.0,12,33,45,29,17,5,2,23,-7
964,ORL,ORL @ IND,11/23/2019,,L,48,106,43,92,46.7,13,31,41.9,7,9,77.8,7,26,33,24,14,11,5,16,-5
965,LAL,LAL @ MEM,11/23/2019,,W,48,109,38,84,45.2,13,39,33.3,20,29,69.0,11,29,40,19,16,12,7,14,1
966,TOR,TOR @ ATL,11/23/2019,,W,48,119,40,88,45.5,13,37,35.1,26,30,86.7,12,30,42,22,17,5,5,16,3
967,MIL,MIL vs. DET,11/23/2019,,W,48,104,41,84,48.8,13,37,35.1,9,18,50.0,9,40,49,25,21,10,8,14,14
968,LAC,LAC vs. HOU,11/22/2019,,W,48,122,45,87,51.7,13,33,39.4,19,24,79.2,10,37,47,27,19,9,4,32,3
969,PHX,PHX vs. NOP,11/21/2019,,L,48,121,40,86,46.5,13,31,41.9,28,32,87.5,9,29,38,28,14,10,3,19,-3
970,NYK,NYK @ PHI,11/20/2019,,L,48,104,40,84,47.6,13,25,52.0,11,15,73.3,7,35,42,17,14,8,6,25,-5
971,PHI,PHI vs. NYK,11/20/2019,,W,48,109,39,89,43.8,13,32,40.6,18,26,69.2,10,34,44,30,10,5,5,14,5
